    Origin        14
Class 1's a bounds are:70.8246------>100
Destination  Low Bound  Up Bound Demands of this class
        16   57.9914   57.9914         0
        17       100       100         0
        18   57.9914   57.9914         0
        19       100       100         0
        20       100       100         0
        21   10.2573       100  0.395792
        22   10.2573   56.9096  0.376019
        23       100       100         0
        24       100       100         0
Class 6's a bounds are:4.9212------>10.2573
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2       100       100         0
         3   50.2612   50.2612         0
         4       100       100         0
         5       100       100         0
         6       100       100         0
         7    4.9212       100  0.199516
         8    4.9212       100  0.399031
         9   70.8246   70.8246         0
        10   70.8246   70.8246         0
        11       100       100         0
        12   50.2612   50.2612         0
        13   50.2612   50.2612         0
        14       100       100         0
        15   56.9096   56.9096         0
        16    4.9212   57.9914  0.233715
        17       100       100         0
        18    4.9212   57.9914 0.0333878
        19       100       100         0
        20    4.9212       100  0.498789
        21   10.2573   10.2573         0
        22    4.9212   10.25730.00971928
        23       100       100         0
        24       100       100         0
Class 7's a bounds are:0.1346------>4.9212
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    0.1346       100 0.0999998
         3   50.2612   50.2612         0
         4       100       100         0
         5       100       100         0
         6    0.1346       100 0.0999998
         7    4.9212    4.9212         0
         8    4.9212    4.9212         0
         9   70.8246   70.8246         0
        10   70.8246   70.8246         0
        11       100       100         0
        12   50.2612   50.2612         0
        13   50.2612   50.2612         0
        14       100       100         0
        15   56.9096   56.9096         0
        16    4.9212    4.9212         0
        17       100       100         0
        18    4.9212    4.9212         0
        19       100       100         0
        20    4.9212    4.9212         0
        21   10.2573   10.2573         0
        22    4.9212    4.9212         0
        23       100       100         0
        24       100       100         0
Class 7's a bounds are:0------>0.1346
Destination Low Bound  Up Bound Demands of this class
         1         0       100       0.3
         2         0    0.13461.81172e-007
         3         0   50.2612 0.0252619
         4         0       100       0.5
         5         0       100       0.1
         6         0    0.13461.81172e-007
         7         0    4.92120.000484364
         8         0    4.92120.000968728
         9         0   70.8246  0.300967
        10         0   70.8246   1.05339
        11         0       100       1.6
        12         0   50.2612  0.176833
        13         0   50.2612  0.151571
        14       100       100         0
        15         0   56.9096  0.421031
        16         0    4.92120.00169527
        17         0       100       0.7
        18         0    4.92120.000242182
        19         0       100       0.3
        20         0    4.92120.00121091
        21         0   10.25730.00420849
        22         0    4.92120.00290619
        23         0       100       1.1
        24         0       100       0.4

--------------Summary for Origin 14 --------------------- 

Destination        Class Number        Range of calss: Trips 
         1                   1                   0-->100 : 0.3                   
         2                   2                   0-->0.1346 : 1.81172e-007              0.1346-->100 : 0.0999998                   
         3                   2                   0-->50.2612 : 0.0252619             50.2612-->100 : 0.0747381                   
         4                   1                   0-->100 : 0.5                   
         5                   1                   0-->100 : 0.1                   
         6                   2                   0-->0.1346 : 1.81172e-007              0.1346-->100 : 0.0999998                   
         7                   2                   0-->4.9212 : 0.000484364              4.9212-->100 : 0.199516                   
         8                   2                   0-->4.9212 : 0.000968728              4.9212-->100 : 0.399031                   
         9                   2                   0-->70.8246 : 0.300967             70.8246-->100 : 0.299033                   
        10                   2                   0-->70.8246 : 1.05339             70.8246-->100 : 1.04661                   
        11                   1                   0-->100 : 1.6                   
        12                   2                   0-->50.2612 : 0.176833             50.2612-->100 : 0.523167                   
        13                   2                   0-->50.2612 : 0.151571             50.2612-->100 : 0.448429                   
        14                   0                   
        15                   3                   0-->56.9096 : 0.421031             56.9096-->70.8246 : 0.231065             70.8246-->100 : 0.647904                   
        16                   3                   0-->4.9212 : 0.00169527              4.9212-->57.9914 : 0.233715             57.9914-->100 : 0.46459                   
        17                   1                   0-->100 : 0.7                   
        18                   3                   0-->4.9212 : 0.000242182              4.9212-->57.9914 : 0.0333878             57.9914-->100 : 0.06637                   
        19                   1                   0-->100 : 0.3                   
        20                   2                   0-->4.9212 : 0.00121091              4.9212-->100 : 0.498789                   
        21                   2                   0-->10.2573 : 0.00420849             10.2573-->100 : 0.395792                   
        22                   4                   0-->4.9212 : 0.00290619              4.9212-->10.2573 : 0.00971928             10.2573-->56.9096 : 0.376019             56.9096-->100 : 0.811356                   
        23                   1                   0-->100 : 1.1                   
        24                   1                   0-->100 : 0.4                   
