    Origin         1
    21 :     100.000000000000;     22 :     200.000000000000;     23 :     100.000000000000;     24 :       0.000000000000; 
    Origin         6
     1 :     300.000000000000;      2 :     400.000000000000;      3 :     300.000000000000;      4 :     400.000000000000;      5 :     200.000000000000; 
     6 :       0.000000000000;      7 :     400.000000000000;      8 :     800.000000000000;      9 :     400.000000000000;     10 :     800.000000000000; 
    11 :     400.000000000000;     12 :     200.000000000000;     13 :     200.000000000000;     14 :     100.000000000000;     15 :     200.000000000000; 
    16 :     900.000000000000;     17 :     500.000000000000;     18 :     100.000000000000;     19 :     200.000000000000;     20 :     300.000000000000; 
    21 :     100.000000000000;     22 :     200.000000000000;     23 :     100.000000000000;     24 :     100.000000000000; 
    Origin         7
     1 :     500.000000000000;      2 :     200.000000000000;      3 :     100.000000000000;      4 :     400.000000000000;      5 :     200.000000000000; 
     6 :     400.000000000000;      7 :       0.000000000000;      8 :    1000.000000000000;      9 :     600.000000000000;     10 :    1900.000000000000; 
    11 :     500.000000000000;     12 :     700.000000000000;     13 :     400.000000000000;     14 :     200.000000000000;     15 :     500.000000000000; 
    16 :    1400.000000000000;     17 :    1000.000000000000;     18 :     200.000000000000;     19 :     400.000000000000;     20 :     500.000000000000; 
    21 :     200.000000000000;     22 :     500.000000000000;     23 :     200.000000000000;     24 :     100.000000000000; 
    Origin         8
     1 :     800.000000000000;      2 :     400.000000000000;      3 :     200.000000000000;      4 :     700.000000000000;      5 :     500.000000000000; 
     6 :     800.000000000000;      7 :    1000.000000000000;      8 :       0.000000000000;      9 :     800.000000000000;     10 :    1600.000000000000; 
    11 :     800.000000000000;     12 :     600.000000000000;     13 :     600.000000000000;     14 :     400.000000000000;     15 :     600.000000000000; 
    16 :    2200.000000000000;     17 :    1400.000000000000;     18 :     300.000000000000;     19 :     700.000000000000;     20 :     900.000000000000; 
    21 :     400.000000000000;     22 :     500.000000000000;     23 :     300.000000000000;     24 :     200.000000000000; 
    Origin         9
     1 :     500.000000000000;      2 :     200.000000000000;      3 :     100.000000000000;      4 :     700.000000000000;      5 :     800.000000000000; 
     6 :     400.000000000000;      7 :     600.000000000000;      8 :     800.000000000000;      9 :       0.000000000000;     10 :    2800.000000000000; 
    11 :    1400.000000000000;     12 :     600.000000000000;     13 :     600.000000000000;     14 :     600.000000000000;     15 :     900.000000000000; 
    16 :    1400.000000000000;     17 :     900.000000000000;     18 :     200.000000000000;     19 :     400.000000000000;     20 :     600.000000000000; 
    21 :     300.000000000000;     22 :     700.000000000000;     23 :     500.000000000000;     24 :     200.000000000000; 
    Origin        10
     1 :    1300.000000000000;      2 :     600.000000000000;      3 :     300.000000000000;      4 :    1200.000000000000;      5 :    1000.000000000000; 
     6 :     800.000000000000;      7 :    1900.000000000000;      8 :    1600.000000000000;      9 :    2800.000000000000;     10 :       0.000000000000; 
    11 :    4000.000000000000;     12 :    2000.000000000000;     13 :    1900.000000000000;     14 :    2100.000000000000;     15 :    4000.000000000000; 
    16 :    4400.000000000000;     17 :    3900.000000000000;     18 :     700.000000000000;     19 :    1800.000000000000;     20 :    2500.000000000000; 
    21 :    1200.000000000000;     22 :    2600.000000000000;     23 :    1800.000000000000;     24 :     800.000000000000; 
    Origin        11
     1 :     500.000000000000;      2 :     200.000000000000;      3 :     300.000000000000;      4 :    1500.000000000000;      5 :     500.000000000000; 
     6 :     400.000000000000;      7 :     500.000000000000;      8 :     800.000000000000;      9 :    1400.000000000000;     10 :    3900.000000000000; 
    11 :       0.000000000000;     12 :    1400.000000000000;     13 :    1000.000000000000;     14 :    1600.000000000000;     15 :    1400.000000000000; 
    16 :    1400.000000000000;     17 :    1000.000000000000;     18 :     100.000000000000;     19 :     400.000000000000;     20 :     600.000000000000; 
    21 :     400.000000000000;     22 :    1100.000000000000;     23 :    1300.000000000000;     24 :     600.000000000000; 
    Origin        12
     1 :     200.000000000000;      2 :     100.000000000000;      3 :     200.000000000000;      4 :     600.000000000000;      5 :     200.000000000000; 
     6 :     200.000000000000;      7 :     700.000000000000;      8 :     600.000000000000;      9 :     600.000000000000;     10 :    2000.000000000000; 
    11 :    1400.000000000000;     12 :       0.000000000000;     13 :    1300.000000000000;     14 :     700.000000000000;     15 :     700.000000000000; 
    16 :     700.000000000000;     17 :     600.000000000000;     18 :     200.000000000000;     19 :     300.000000000000;     20 :     400.000000000000; 
    21 :     300.000000000000;     22 :     700.000000000000;     23 :     700.000000000000;     24 :     500.000000000000; 
    Origin        13
     1 :     500.000000000000;      2 :     300.000000000000;      3 :     100.000000000000;      4 :     600.000000000000;      5 :     200.000000000000; 
     6 :     200.000000000000;      7 :     400.000000000000;      8 :     600.000000000000;      9 :     600.000000000000;     10 :    1900.000000000000; 
    11 :    1000.000000000000;     12 :    1300.000000000000;     13 :       0.000000000000;     14 :     600.000000000000;     15 :     700.000000000000; 
    16 :     600.000000000000;     17 :     500.000000000000;     18 :     100.000000000000;     19 :     300.000000000000;     20 :     600.000000000000; 
    21 :     600.000000000000;     22 :    1300.000000000000;     23 :     800.000000000000;     24 :     800.000000000000; 
    Origin        14
     1 :     300.000000000000;      2 :     100.000000000000;      3 :     100.000000000000;      4 :     500.000000000000;      5 :     100.000000000000; 
     6 :     100.000000000000;      7 :     200.000000000000;      8 :     400.000000000000;      9 :     600.000000000000;     10 :    2100.000000000000; 
    11 :    1600.000000000000;     12 :     700.000000000000;     13 :     600.000000000000;     14 :       0.000000000000;     15 :    1300.000000000000; 
    16 :     700.000000000000;     17 :     700.000000000000;     18 :     100.000000000000;     19 :     300.000000000000;     20 :     500.000000000000; 
    21 :     400.000000000000;     22 :    1200.000000000000;     23 :    1100.000000000000;     24 :     400.000000000000; 
    Origin        15
     1 :     500.000000000000;      2 :     100.000000000000;      3 :     100.000000000000;      4 :     500.000000000000;      5 :     200.000000000000; 
     6 :     200.000000000000;      7 :     500.000000000000;      8 :     600.000000000000;      9 :    1000.000000000000;     10 :    4000.000000000000; 
    11 :    1400.000000000000;     12 :     700.000000000000;     13 :     700.000000000000;     14 :    1300.000000000000;     15 :       0.000000000000; 
    16 :    1200.000000000000;     17 :    1500.000000000000;     18 :     200.000000000000;     19 :     800.000000000000;     20 :    1100.000000000000; 
    21 :     800.000000000000;     22 :    2600.000000000000;     23 :    1000.000000000000;     24 :     400.000000000000; 
    Origin        16
     1 :     500.000000000000;      2 :     400.000000000000;      3 :     200.000000000000;      4 :     800.000000000000;      5 :     500.000000000000; 
     6 :     900.000000000000;      7 :    1400.000000000000;      8 :    2200.000000000000;      9 :    1400.000000000000;     10 :    4400.000000000000; 
    11 :    1400.000000000000;     12 :     700.000000000000;     13 :     600.000000000000;     14 :     700.000000000000;     15 :    1200.000000000000; 
    16 :       0.000000000000;     17 :    2800.000000000000;     18 :     500.000000000000;     19 :    1300.000000000000;     20 :    1600.000000000000; 
    21 :     600.000000000000;     22 :    1200.000000000000;     23 :     500.000000000000;     24 :     300.000000000000; 
    Origin        17
     1 :     400.000000000000;      2 :     200.000000000000;      3 :     100.000000000000;      4 :     500.000000000000;      5 :     200.000000000000; 
     6 :     500.000000000000;      7 :    1000.000000000000;      8 :    1400.000000000000;      9 :     900.000000000000;     10 :    3900.000000000000; 
    11 :    1000.000000000000;     12 :     600.000000000000;     13 :     500.000000000000;     14 :     700.000000000000;     15 :    1500.000000000000; 
    16 :    2800.000000000000;     17 :       0.000000000000;     18 :     600.000000000000;     19 :    1700.000000000000;     20 :    1700.000000000000; 
    21 :     600.000000000000;     22 :    1700.000000000000;     23 :     600.000000000000;     24 :     300.000000000000; 
    Origin        18
     1 :     100.000000000000;      2 :       0.000000000000;      3 :       0.000000000000;      4 :     100.000000000000;      5 :       0.000000000000; 
     6 :     100.000000000000;      7 :     200.000000000000;      8 :     300.000000000000;      9 :     200.000000000000;     10 :     700.000000000000; 
    11 :     200.000000000000;     12 :     200.000000000000;     13 :     100.000000000000;     14 :     100.000000000000;     15 :     200.000000000000; 
    16 :     500.000000000000;     17 :     600.000000000000;     18 :       0.000000000000;     19 :     300.000000000000;     20 :     400.000000000000; 
    21 :     100.000000000000;     22 :     300.000000000000;     23 :     100.000000000000;     24 :       0.000000000000; 
    Origin        19
     1 :     300.000000000000;      2 :     100.000000000000;      3 :       0.000000000000;      4 :     200.000000000000;      5 :     100.000000000000; 
     6 :     200.000000000000;      7 :     400.000000000000;      8 :     700.000000000000;      9 :     400.000000000000;     10 :    1800.000000000000; 
    11 :     400.000000000000;     12 :     300.000000000000;     13 :     300.000000000000;     14 :     300.000000000000;     15 :     800.000000000000; 
    16 :    1300.000000000000;     17 :    1700.000000000000;     18 :     300.000000000000;     19 :       0.000000000000;     20 :    1200.000000000000; 
    21 :     400.000000000000;     22 :    1200.000000000000;     23 :     300.000000000000;     24 :     100.000000000000; 
    Origin        20
     1 :     300.000000000000;      2 :     100.000000000000;      3 :       0.000000000000;      4 :     300.000000000000;      5 :     100.000000000000; 
     6 :     300.000000000000;      7 :     500.000000000000;      8 :     900.000000000000;      9 :     600.000000000000;     10 :    2500.000000000000; 
    11 :     600.000000000000;     12 :     500.000000000000;     13 :     600.000000000000;     14 :     500.000000000000;     15 :    1100.000000000000; 
    16 :    1600.000000000000;     17 :    1700.000000000000;     18 :     400.000000000000;     19 :    1200.000000000000;     20 :       0.000000000000; 
    21 :    1200.000000000000;     22 :    2400.000000000000;     23 :     700.000000000000;     24 :     400.000000000000; 
    Origin        21
     1 :     100.000000000000;      2 :       0.000000000000;      3 :       0.000000000000;      4 :     200.000000000000;      5 :     100.000000000000; 
     6 :     100.000000000000;      7 :     200.000000000000;      8 :     400.000000000000;      9 :     300.000000000000;     10 :    1200.000000000000; 
    11 :     400.000000000000;     12 :     300.000000000000;     13 :     600.000000000000;     14 :     400.000000000000;     15 :     800.000000000000; 
    16 :     600.000000000000;     17 :     600.000000000000;     18 :     100.000000000000;     19 :     400.000000000000;     20 :    1200.000000000000; 
    21 :       0.000000000000;     22 :    1800.000000000000;     23 :     700.000000000000;     24 :     500.000000000000; 
    Origin        22
     1 :     400.000000000000;      2 :     100.000000000000;      3 :     100.000000000000;      4 :     400.000000000000;      5 :     200.000000000000; 
     6 :     200.000000000000;      7 :     500.000000000000;      8 :     500.000000000000;      9 :     700.000000000000;     10 :    2600.000000000000; 
    11 :    1100.000000000000;     12 :     700.000000000000;     13 :    1300.000000000000;     14 :    1200.000000000000;     15 :    2600.000000000000; 
    16 :    1200.000000000000;     17 :    1700.000000000000;     18 :     300.000000000000;     19 :    1200.000000000000;     20 :    2400.000000000000; 
    21 :    1800.000000000000;     22 :       0.000000000000;     23 :    2100.000000000000;     24 :    1100.000000000000; 
    Origin        23
     1 :     300.000000000000;      2 :       0.000000000000;      3 :     100.000000000000;      4 :     500.000000000000;      5 :     100.000000000000; 
     6 :     100.000000000000;      7 :     200.000000000000;      8 :     300.000000000000;      9 :     500.000000000000;     10 :    1800.000000000000; 
    11 :    1300.000000000000;     12 :     700.000000000000;     13 :     800.000000000000;     14 :    1100.000000000000;     15 :    1000.000000000000; 
    16 :     500.000000000000;     17 :     600.000000000000;     18 :     100.000000000000;     19 :     300.000000000000;     20 :     700.000000000000; 
    21 :     700.000000000000;     22 :    2100.000000000000;     23 :       0.000000000000;     24 :     700.000000000000; 
    Origin        24
     1 :     100.000000000000;      2 :       0.000000000000;      3 :       0.000000000000;      4 :     200.000000000000;      5 :       0.000000000000; 
     6 :     100.000000000000;      7 :     100.000000000000;      8 :     200.000000000000;      9 :     200.000000000000;     10 :     800.000000000000; 
    11 :     600.000000000000;     12 :     500.000000000000;     13 :     700.000000000000;     14 :     400.000000000000;     15 :     400.000000000000; 
    16 :     300.000000000000;     17 :     300.000000000000;     18 :       0.000000000000;     19 :     100.000000000000;     20 :     400.000000000000; 
    21 :     500.000000000000;     22 :    1100.000000000000;     23 :     700.000000000000;     24 :       0.000000000000; 
