    Origin        13
Class 1's a bounds are:85.6546------>100
Destination  Low Bound  Up Bound Demands of this class
        15   54.2433   54.2433         0
        16       100       100         0
        17   54.2433   54.2433         0
        18       100       100         0
        19   54.2433   54.2433         0
        20       100       100         0
        21       100       100         0
        22   62.4207   62.4207         0
        23   62.4207   62.4207         0
        24       100       100         0
Class 6's a bounds are:50.6941------>52.818
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    74.369    74.369         0
         3       100       100         0
         4   50.6941       100  0.445806
         5       100       100         0
         6    74.369    74.369         0
         7    52.818    52.818         0
         8    52.818    52.818         0
         9   54.2433   54.2433         0
        10   54.2433   54.2433         0
        11   50.6941       100  0.743011
        12       100       100         0
        13       100       100         0
        14   50.6941       100  0.445806
        15   54.2433   54.2433         0
        16       100       100         0
        17   54.2433   54.2433         0
        18       100       100         0
        19   54.2433   54.2433         0
        20       100       100         0
        21       100       100         0
        22   62.4207   62.4207         0
        23   62.4207   62.4207         0
        24       100       100         0
Class 7's a bounds are:32.5456------>50.6941
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    74.369    74.369         0
         3       100       100         0
         4   50.6941   50.6941         0
         5       100       100         0
         6    74.369    74.369         0
         7   32.5456    52.818  0.069221
         8   32.5456    52.818  0.103832
         9   32.5456   54.2433  0.112987
        10   54.2433   54.2433         0
        11   50.6941   50.6941         0
        12       100       100         0
        13       100       100         0
        14   50.6941   50.6941         0
        15   54.2433   54.2433         0
        16       100       100         0
        17   54.2433   54.2433         0
        18       100       100         0
        19   54.2433   54.2433         0
        20       100       100         0
        21       100       100         0
        22   62.4207   62.4207         0
        23   62.4207   62.4207         0
        24       100       100         0
Class 8's a bounds are:29.9515------>32.5456
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    74.369    74.369         0
         3       100       100         0
         4   50.6941   50.6941         0
         5       100       100         0
         6    74.369    74.369         0
         7   29.9515   32.54560.00648495
         8   32.5456   32.5456         0
         9   32.5456   32.5456         0
        10   54.2433   54.2433         0
        11   50.6941   50.6941         0
        12       100       100         0
        13       100       100         0
        14   50.6941   50.6941         0
        15   54.2433   54.2433         0
        16   29.9515       100  0.546174
        17   54.2433   54.2433         0
        18   29.9515       100 0.0910291
        19   54.2433   54.2433         0
        20       100       100         0
        21       100       100         0
        22   62.4207   62.4207         0
        23   62.4207   62.4207         0
        24       100       100         0
Class 9's a bounds are:12.9401------>29.9515
Destination  Low Bound  Up Bound Demands of this class
         1       100       100         0
         2    74.369    74.369         0
         3       100       100         0
         4   50.6941   50.6941         0
         5       100       100         0
         6    74.369    74.369         0
         7   29.9515   29.9515         0
         8   32.5456   32.5456         0
         9   32.5456   32.5456         0
        10   54.2433   54.2433         0
        11   50.6941   50.6941         0
        12       100       100         0
        13       100       100         0
        14   50.6941   50.6941         0
        15   54.2433   54.2433         0
        16   29.9515   29.9515         0
        17   54.2433   54.2433         0
        18   12.9401   29.95150.00729646
        19   54.2433   54.2433         0
        20   12.9401       100  0.589953
        21       100       100         0
        22   62.4207   62.4207         0
        23   62.4207   62.4207         0
        24       100       100         0
Class 9's a bounds are:0------>12.9401
Destination Low Bound  Up Bound Demands of this class
         1         0       100       0.5
         2         0    74.369  0.165922
         3         0       100       0.1
         4         0   50.6941  0.154194
         5         0       100       0.2
         6         0    74.369  0.110615
         7         0   29.9515 0.0358837
         8         0   32.5456  0.063553
         9         0   32.5456  0.063553
        10         0   54.2433  0.559044
        11         0   50.6941  0.256989
        12         0       100       1.3
        13       100       100         0
        14         0   50.6941  0.154194
        15         0   54.2433  0.205963
        16         0   29.9515 0.0538255
        17         0   54.2433  0.147117
        18         0   12.94010.00167446
        19         0   54.2433 0.0882701
        20         0   12.9401 0.0100468
        21         0       100       0.6
        22         0   62.4207  0.506525
        23         0   62.4207  0.311708
        24         0       100       0.8

--------------Summary for Origin 13 --------------------- 

Destination        Class Number        Range of calss: Trips 
         1                   1                   0-->100 : 0.5                   
         2                   2                   0-->74.369 : 0.165922              74.369-->100 : 0.134078                   
         3                   1                   0-->100 : 0.1                   
         4                   2                   0-->50.6941 : 0.154194             50.6941-->100 : 0.445806                   
         5                   1                   0-->100 : 0.2                   
         6                   2                   0-->74.369 : 0.110615              74.369-->100 : 0.089385                   
         7                   4                   0-->29.9515 : 0.0358837             29.9515-->32.5456 : 0.00648495             32.5456-->52.818 : 0.069221              52.818-->100 : 0.28841                   
         8                   4                   0-->32.5456 : 0.063553             32.5456-->52.818 : 0.103832              52.818-->74.369 : 0.16446              74.369-->100 : 0.268155                   
         9                   3                   0-->32.5456 : 0.063553             32.5456-->54.2433 : 0.112987             54.2433-->100 : 0.42346                   
        10                   3                   0-->54.2433 : 0.559044             54.2433-->85.6546 : 0.834931             85.6546-->100 : 0.506025                   
        11                   2                   0-->50.6941 : 0.256989             50.6941-->100 : 0.743011                   
        12                   1                   0-->100 : 1.3                   
        13                   0                   
        14                   2                   0-->50.6941 : 0.154194             50.6941-->100 : 0.445806                   
        15                   3                   0-->54.2433 : 0.205963             54.2433-->85.6546 : 0.307606             85.6546-->100 : 0.18643                   
        16                   2                   0-->29.9515 : 0.0538255             29.9515-->100 : 0.546174                   
        17                   2                   0-->54.2433 : 0.147117             54.2433-->100 : 0.352883                   
        18                   3                   0-->12.9401 : 0.00167446             12.9401-->29.9515 : 0.00729646             29.9515-->100 : 0.0910291                   
        19                   3                   0-->54.2433 : 0.0882701             54.2433-->85.6546 : 0.131831             85.6546-->100 : 0.0798987                   
        20                   2                   0-->12.9401 : 0.0100468             12.9401-->100 : 0.589953                   
        21                   1                   0-->100 : 0.6                   
        22                   2                   0-->62.4207 : 0.506525             62.4207-->100 : 0.793475                   
        23                   2                   0-->62.4207 : 0.311708             62.4207-->100 : 0.488292                   
        24                   1                   0-->100 : 0.8                   
